<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,D,20190101,000000,1.1456000,1.1545000,1.1446000,1.1459000,19293
EURUSD,D,20190102,000000,1.1454300,1.1496800,1.1324000,1.1345400,1961964
EURUSD,D,20190103,000000,1.1345400,1.1411000,1.1308000,1.1398300,2434824
EURUSD,D,20190104,000000,1.1398100,1.1419100,1.1344000,1.1402600,2168134
EURUSD,D,20190105,000000,1.1402200,1.1403400,1.1392500,1.1394200,32439
EURUSD,D,20190106,000000,1.1396500,1.1401000,1.1395000,1.1399000,93
EURUSD,D,20190107,000000,1.1397900,1.1482600,1.1393200,1.1476800,1436355
EURUSD,D,20190108,000000,1.1476100,1.1484600,1.1421000,1.1440200,1462154
EURUSD,D,20190109,000000,1.1440300,1.1558000,1.1435000,1.1554100,1731788
EURUSD,D,20190110,000000,1.1553500,1.1569800,1.1483000,1.1497800,1690792
EURUSD,D,20190111,000000,1.1497800,1.1540600,1.1456000,1.1462600,1553171
EURUSD,D,20190112,000000,1.1462500,1.1469300,1.1457000,1.1464000,31568
EURUSD,D,20190113,000000,1.1461200,1.1463200,1.1439000,1.1452000,371
EURUSD,D,20190114,000000,1.1451700,1.1482100,1.1449000,1.1468600,1356563
EURUSD,D,20190115,000000,1.1468600,1.1489700,1.1380000,1.1413200,1708408
EURUSD,D,20190116,000000,1.1412700,1.1424800,1.1376000,1.1391700,1491367
EURUSD,D,20190117,000000,1.1392600,1.1407000,1.1369000,1.1391300,1570971
EURUSD,D,20190118,000000,1.1390000,1.1410400,1.1352000,1.1365100,1430762
EURUSD,D,20190119,000000,1.1365000,1.1366000,1.1359000,1.1360000,32197
EURUSD,D,20190120,000000,1.1361700,1.1366300,1.1360000,1.1363600,100
EURUSD,D,20190121,000000,1.1363700,1.1391100,1.1355000,1.1368100,1021430
EURUSD,D,20190122,000000,1.1368100,1.1374000,1.1335000,1.1351700,1404758
EURUSD,D,20190123,000000,1.1352200,1.1394400,1.1349000,1.1382500,1419283
EURUSD,D,20190124,000000,1.1382500,1.1391400,1.1288000,1.1307700,1756082
EURUSD,D,20190125,000000,1.1307800,1.1417600,1.1299000,1.1414600,1662943
EURUSD,D,20190126,000000,1.1414700,1.1417500,1.1402000,1.1405000,41090
EURUSD,D,20190127,000000,1.1407700,1.1408000,1.1399000,1.1402000,180
EURUSD,D,20190128,000000,1.1403000,1.1443700,1.1389000,1.1428100,1307032
EURUSD,D,20190129,000000,1.1428100,1.1450200,1.1410000,1.1432900,1548748
EURUSD,D,20190130,000000,1.1433100,1.1501700,1.1405000,1.1480200,1604480
EURUSD,D,20190131,000000,1.1480800,1.1514300,1.1434000,1.1444900,1690348
EURUSD,D,20190201,000000,1.1444100,1.1488500,1.1433000,1.1458700,1469422
EURUSD,D,20190202,000000,1.1459400,1.1461700,1.1452000,1.1453500,30834
